# Simulation 24 (Up to date)
# 1059 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Total velocity (ft/s),Total acceleration (ft/s^2),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (^2),Lateral velocity (ft/s),Lateral acceleration (ft/s^2),Latitude (^2),Longitude (^2),Gravitational acceleration (ft/s^2),Angle of attack (^2),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb^2ft^2),Rotational moment of inertia (lb^2ft^2),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s^2),Reference length (in),Reference area (in^2),Vertical orientation (zenith) (^2),Lateral orientation (azimuth) (^2),Wind velocity (ft/s),Air temperature (^2F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,44.442,0,44.442,0,0,0,0,0,0,28.61,-80.6,32.127,90,0,0,0,1519.9,0.57825,646.12,4.7599,NaN,79.536,NaN,0.0063829,487205,1005.6,0,0.50951,0,0.4268,1.5095e-6,0.082709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,8.551e-4
0.01,0.0022221,0.44442,148.52,0.44442,148.52,0,0,0,0,0,0,28.61,-80.6,32.127,86.46,0,0,0,1519.9,0.57825,646.12,4.7599,NaN,79.536,NaN,0.0064453,491967,2372.5,1.9053e-5,0.50863,2.906e-4,0.42592,1.5392e-6,0.082709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6901e-5,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0010495
0.02,0.014092,1.9296,151.4,1.9296,151.4,0,0,0,0,0,0,28.61,-80.6,32.127,75.077,0,0,0,1519.9,0.57758,646.11,4.7599,NaN,79.536,NaN,0.0067094,512125,2410.4,0.0013495,0.505,0.018994,0.42229,1.6679e-6,0.08271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4705e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0011784
0.03,0.040958,3.4436,151.22,3.4436,151.22,0,0,0,0,0,0,28.61,-80.6,32.127,64.734,0,0,0,1519.9,0.57668,646.11,4.7599,NaN,79.536,NaN,0.0072244,551429,2408,0.0065544,0.49845,0.07957,0.41573,1.9337e-6,0.08271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.409e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.00129
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.082955,4.9558,151.04,4.9558,151.04,0,0,0,0,0,0,28.61,-80.6,32.127,56.017,0,0,0,1519.9,0.57573,646.11,4.7599,NaN,79.536,NaN,0.0079393,606000,2405.6,0.016654,0.4903,0.1674,0.40758,2.3354e-6,0.082711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3451e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0014566
0.05,0.14006,6.4661,150.85,6.4661,150.85,0,0,0,0,0,0,28.61,-80.6,32.127,48.884,0,0,0,1519.9,0.57478,646.11,4.7599,NaN,79.536,NaN,0.008805,672072,2403.2,0.031626,0.48163,0.25847,0.39892,2.8725e-6,0.082713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2789e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0015716
0.06,0.21227,7.9746,150.67,7.9746,150.67,0,0,0,0,0,0,28.61,-80.6,32.127,43.076,0,0,0,1519.9,0.57383,646.11,4.7598,NaN,79.536,NaN,0.0097761,746193,2400.8,0.051048,0.47316,0.33843,0.39044,3.5411e-6,0.082714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001021,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0016994
0.07,0.29955,9.4813,150.49,9.4813,150.49,0,0,0,0,0,0,28.61,-80.6,32.127,38.363,0,0,0,1519.9,0.57289,646.11,4.7598,NaN,79.536,NaN,0.010828,826467,2398.4,0.074367,0.46513,0.4019,0.38241,4.3441e-6,0.082716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012139,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.001824
0.08,0.40188,10.986,150.3,10.986,150.3,0,0,0,0,0,0,28.61,-80.6,32.127,34.509,0,0,0,1519.9,0.57194,646.11,4.7598,NaN,79.536,NaN,0.011938,911225,2396,0.10109,0.4577,0.4494,0.37497,5.2809e-6,0.082718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014066,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0019391
0.09,0.51926,12.489,150.12,12.489,150.12,0,0,0,0,0,0,28.61,-80.6,32.127,31.327,0,0,0,1519.9,0.57099,646.11,4.7598,NaN,79.536,NaN,0.013092,999289,2393.7,0.1308,0.45087,0.48351,0.36814,6.3511e-6,0.082721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001599,6.625,34.472,90,0,NaN,58.998,1013.2,1116.8,0.01,0.0020512
0.1,0.65166,13.99,149.93,13.99,149.93,0,0,0,0,0,0,28.61,-80.6,32.127,28.67,0,0,0,1519.9,0.57004,646.11,4.7598,NaN,79.536,NaN,0.014278,1089821,2391.3,0.16317,0.44462,0.50713,0.36189,7.5542e-6,0.082724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017913,6.625,34.472,90,0,NaN,58.998,1013.2,1116.8,0.01,0.0021618
0.11,0.79906,15.49,149.75,15.49,149.75,0,0,0,0,0,0,28.61,-80.6,32.127,26.047,0,0,0,1519.9,0.56909,646.11,4.7598,NaN,79.536,NaN,0.015438,1178362,2388.9,0.19806,0.43912,0.52654,0.35639,8.8319e-6,0.082727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019832,6.625,34.472,90,0,NaN,58.997,1013.2,1116.8,0.01,0.0022728
0.12,0.96144,16.987,149.56,16.987,149.56,0,0,0,0,0,0,28.61,-80.6,32.127,23.798,0,0,0,1519.9,0.56815,646.11,4.7598,NaN,79.536,NaN,0.016625,1268908,2386.5,0.23485,0.43403,0.53841,0.35129,1.0242e-5,0.08273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021749,6.625,34.472,90,0,NaN,58.997,1013.2,1116.8,0.01,0.0023823
0.13,1.1388,18.483,149.38,18.483,149.38,0,0,0,0,0,0,28.61,-80.6,32.127,21.852,0,0,0,1519.9,0.5672,646.11,4.7598,NaN,79.536,NaN,0.017832,1361031,2384.1,0.27329,0.42931,0.54459,0.34657,1.1783e-5,0.082734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023664,6.625,34.472,90,0,NaN,58.996,1013.2,1116.8,0.01,0.0024908
0.14,1.3311,19.977,149.19,19.977,149.19,0,0,0,0,0,0,28.61,-80.6,32.127,20.157,0,0,0,1519.9,0.56625,646.11,4.7598,NaN,79.536,NaN,0.019055,1454403,2381.7,0.31321,0.42493,0.54657,0.34218,1.3456e-5,0.082738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025577,6.625,34.472,90,0,NaN,58.995,1013.2,1116.8,0.01,0.0026149
0.15,1.5383,21.468,149.01,21.468,149.01,0,0,0,0,0,0,28.61,-80.6,32.127,18.668,0,0,0,1519.9,0.5653,646.11,4.7598,NaN,79.536,NaN,0.020292,1548773,2379.3,0.35445,0.42086,0.54546,0.3381,1.526e-5,0.082742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027487,6.625,34.472,90,0,NaN,58.995,1013.2,1116.8,0.01,0.0027279
0.16,1.7604,22.959,148.82,22.959,148.82,0,0,0,0,0,0,28.61,-80.6,32.127,17.211,0,0,0,1519.9,0.56435,646.11,4.7598,NaN,79.536,NaN,0.021522,1642679,2376.9,0.39637,0.41711,0.54222,0.33435,1.7167e-5,0.082747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0029395,6.625,34.472,90,0,NaN,58.994,1013.2,1116.8,0.01,0.0028367
0.17,1.9975,24.447,148.64,24.447,148.64,0,0,0,0,0,0,28.61,-80.6,32.127,15.913,0,0,0,1519.9,0.56341,646.11,4.7598,NaN,79.536,NaN,0.022763,1737409,2374.5,0.4385,0.4136,0.53623,0.33083,1.9205e-5,0.082752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00313,6.625,34.472,90,0,NaN,58.993,1013.2,1116.8,0.01,0.0029611
0.18,2.2494,25.933,148.45,25.933,148.45,0,0,0,0,0,0,28.61,-80.6,32.127,14.751,0,0,0,1519.9,0.56246,646.11,4.7598,NaN,79.536,NaN,0.024013,1832814,2372.1,0.48005,0.41031,0.52751,0.32753,2.1373e-5,0.082757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0033203,6.625,34.472,90,0,NaN,58.992,1013.2,1116.8,0.01,0.0030733
0.19,2.5161,27.418,148.27,27.418,148.27,0,0,0,0,0,0,28.61,-80.6,32.127,13.706,0,0,0,1519.9,0.56151,646.11,4.7598,NaN,79.536,NaN,0.025271,1928774,2369.8,0.52143,0.40721,0.51738,0.32442,2.3671e-5,0.082763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035104,6.625,34.472,90,0,NaN,58.991,1013.2,1116.8,0.01,0.0031841
0.2,2.7977,28.9,148.08,28.9,148.08,0,0,0,0,0,0,28.61,-80.6,32.127,12.76,0,0,0,1519.9,0.56056,646.11,4.7598,NaN,79.536,NaN,0.026534,2025189,2367.4,0.563,0.40429,0.5067,0.32149,2.6098e-5,0.082769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0037003,6.625,34.472,90,0,NaN,58.99,1013.1,1116.8,0.01,0.0032962
0.21,3.0941,30.381,147.9,30.381,147.9,0,0,0,0,0,0,28.61,-80.6,32.127,12.167,0,0,0,1519.9,0.55962,646.11,4.7598,NaN,79.536,NaN,0.02783,2124076,2365,0.60899,0.40147,0.49824,0.31867,2.8711e-5,0.082775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0038899,6.625,34.472,90,0,NaN,58.989,1013.1,1116.7,0.01,0.003416
0.22,3.4053,31.86,147.71,31.86,147.71,0,0,0,0,0,0,28.61,-80.6,32.127,11.627,0,0,0,1519.9,0.55867,646.11,4.7598,NaN,79.536,NaN,0.029127,2223045,2362.6,0.65624,0.39882,0.49016,0.316,3.1451e-5,0.082782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0040792,6.625,34.472,90,0,NaN,58.988,1013.1,1116.7,0.01,0.0035264
0.23,3.7313,33.337,147.53,33.337,147.53,0,0,0,0,0,0,28.61,-80.6,32.127,11.134,0,0,0,1519.9,0.55772,646.11,4.7598,NaN,79.536,NaN,0.030425,2322067,2360.2,0.70482,0.39631,0.4825,0.31348,3.4318e-5,0.082789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0042683,6.625,34.472,90,0,NaN,58.987,1013.1,1116.7,0.01,0.0036384
0.24,4.0721,34.813,147.34,34.813,147.34,0,0,0,0,0,0,28.61,-80.6,32.127,10.682,0,0,0,1519.9,0.55677,646.11,4.7598,NaN,79.536,NaN,0.031723,2421120,2357.8,0.75476,0.39393,0.47527,0.3111,3.7311e-5,0.082796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0044572,6.625,34.472,90,0,NaN,58.985,1013.1,1116.7,0.01,0.0037554
0.25,4.4276,36.286,147.16,36.286,147.16,0,0,0,0,0,0,28.61,-80.6,32.127,10.265,0,0,0,1519.9,0.55582,646.11,4.7598,NaN,79.536,NaN,0.033021,2520185,2355.4,0.80609,0.39168,0.46847,0.30883,4.043e-5,0.082803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0046459,6.625,34.472,90,0,NaN,58.984,1013.1,1116.7,0.01,0.0038618
0.26,4.7978,37.758,146.97,37.758,146.97,0,0,0,0,0,0,28.61,-80.6,32.127,9.9838,0,0,0,1519.9,0.55488,646.11,4.7598,NaN,79.536,NaN,0.03433,2620066,2353,0.86125,0.38951,0.46309,0.30666,4.3702e-5,0.082811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0048343,6.625,34.472,90,0,NaN,58.983,1013.1,1116.7,0.01,0.0039664
0.27,5.1827,39.227,146.78,39.227,146.78,0,0,0,0,0,0,28.61,-80.6,32.127,9.7233,0,0,0,1519.9,0.55393,646.11,4.7598,NaN,79.536,NaN,0.035638,2719877,2350.6,0.918,0.38746,0.45804,0.30459,4.7099e-5,0.082819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0050224,6.625,34.472,90,0,NaN,58.982,1013.1,1116.7,0.01,0.0040745
0.28,5.5823,40.695,146.6,40.695,146.6,0,0,0,0,0,0,28.61,-80.6,32.127,9.4817,0,0,0,1519.9,0.55298,646.11,4.7598,NaN,79.536,NaN,0.036946,2819613,2348.2,0.97799,0.38614,0.45405,0.30327,5.0621e-5,0.082828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0052104,6.625,34.472,90,0,NaN,58.98,1013.1,1116.7,0.01,0.0041902
0.29,5.9966,42.161,146.41,42.161,146.41,0,0,0,0,0,0,28.61,-80.6,32.127,9.257,0,0,0,1519.9,0.55203,646.11,4.7598,NaN,79.536,NaN,0.038252,2919266,2345.9,1.0431,0.38615,0.45179,0.30326,5.4267e-5,0.082837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0053981,6.625,34.472,90,0,NaN,58.979,1013,1116.7,0.01,0.0043041
0.3,6.4255,43.625,146.22,43.625,146.22,0,0,0,0,0,0,28.61,-80.6,32.127,9.0475,0,0,0,1519.9,0.55108,646.11,4.7598,NaN,79.536,NaN,0.039557,3018832,2343.5,1.1103,0.38616,0.44968,0.30326,5.8038e-5,0.082846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0055855,6.625,34.472,90,0,NaN,58.977,1013,1116.7,0.01,0.0044229
0.31,6.8691,45.087,146.04,45.087,146.04,0,0,0,0,0,0,28.61,-80.6,32.127,8.6863,0,0,0,1519.9,0.55014,646.11,4.7598,NaN,79.536,NaN,0.040843,3116918,2341.1,1.1739,0.38617,0.446,0.30326,6.1876e-5,0.082855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0057727,6.625,34.472,90,0,NaN,58.976,1013,1116.7,0.01,0.0045327
0.32,7.3273,46.548,145.85,46.548,145.85,0,0,0,0,0,0,28.61,-80.6,32.127,8.3475,0,0,0,1519.9,0.54919,646.11,4.7598,NaN,79.536,NaN,0.042128,3214991,2338.7,1.2393,0.38618,0.44255,0.30325,6.5838e-5,0.082865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0059597,6.625,34.472,90,0,NaN,58.974,1013,1116.7,0.01,0.004648
0.33,7.8,48.006,145.66,48.006,145.66,0,0,0,0,0,0,28.61,-80.6,32.127,8.029,0,0,0,1519.9,0.54824,646.11,4.7598,NaN,79.536,NaN,0.043414,3313041,2336.3,1.3064,0.38619,0.43931,0.30325,6.9922e-5,0.082874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0061465,6.625,34.472,90,0,NaN,58.972,1013,1116.7,0.01,0.0047716
0.34,8.2874,49.463,145.48,49.463,145.48,0,0,0,0,0,0,28.61,-80.6,32.127,7.7292,0,0,0,1519.9,0.54729,646.11,4.7598,NaN,79.536,NaN,0.044699,3411056,2333.9,1.3753,0.3862,0.43628,0.30325,7.4129e-5,0.082885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006333,6.625,34.472,90,0,NaN,58.97,1013,1116.7,0.01,0.0048922
0.35,8.7893,50.917,145.29,50.917,145.29,0,0,0,0,0,0,28.61,-80.6,32.127,7.4464,0,0,0,1519.9,0.54635,646.11,4.7598,NaN,79.536,NaN,0.045983,3509030,2331.5,1.446,0.38622,0.43343,0.30324,7.8457e-5,0.082895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0065192,6.625,34.472,90,0,NaN,58.969,1012.9,1116.7,0.01,0.0050137
0.36,9.3057,52.37,145.1,52.37,145.1,0,0,0,0,0,0,28.61,-80.6,32.127,7.1325,0,0,0,1519.9,0.5454,646.11,4.7598,NaN,79.536,NaN,0.047262,3606585,2329.1,1.5165,0.38623,0.4303,0.30324,8.2889e-5,0.082906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0067052,6.625,34.472,90,0,NaN,58.967,1012.9,1116.7,0.01,0.0051232
0.37,9.8367,53.821,144.91,53.821,144.91,0,0,0,0,0,0,28.61,-80.6,32.127,6.8354,0,0,0,1519.9,0.54445,646.11,4.7598,NaN,79.535,NaN,0.048541,3704111,2326.7,1.5888,0.38624,0.42737,0.30324,8.7443e-5,0.082917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006891,6.625,34.472,90,0,NaN,58.965,1012.9,1116.7,0.01,0.005228
0.38,10.382,55.27,144.73,55.27,144.73,0,0,0,0,0,0,28.61,-80.6,32.127,6.5538,0,0,0,1519.9,0.5435,646.11,4.7598,NaN,79.535,NaN,0.049819,3801601,2324.3,1.6628,0.38625,0.42464,0.30323,9.2117e-5,0.082928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0070765,6.625,34.472,90,0,NaN,58.963,1012.9,1116.7,0.01,0.0053323
0.39,10.942,56.718,144.54,56.718,144.54,0,0,0,0,0,0,28.61,-80.6,32.127,6.2864,0,0,0,1519.9,0.54255,646.1,4.7598,NaN,79.535,NaN,0.051097,3899048,2322,1.7386,0.38626,0.42208,0.30323,9.6912e-5,0.08294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0072618,6.625,34.472,90,0,NaN,58.961,1012.9,1116.7,0.01,0.005514
0.4,11.516,58.163,144.35,58.163,144.35,0,0,0,0,0,0,28.61,-80.6,32.127,6.0323,0,0,0,1519.9,0.54161,646.1,4.7598,NaN,79.535,NaN,0.052374,3996443,2319.6,1.8162,0.38628,0.4197,0.30322,1.0183e-4,0.082951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0074469,6.625,34.472,90,0,NaN,58.959,1012.8,1116.7,0.01,0.0056311
0.41,12.105,59.607,144.16,59.607,144.16,0,0,0,0,0,0,28.61,-80.6,32.127,5.9789,0,0,0,1519.9,0.54066,646.1,4.7598,NaN,79.535,NaN,0.053669,4095170,2317.2,1.9049,0.38629,0.41921,0.30322,1.0693e-4,0.082964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0076317,6.625,34.472,90,0,NaN,58.957,1012.8,1116.7,0.01,0.0057478
0.42,12.709,61.048,143.97,61.048,143.97,0,0,0,0,0,0,28.61,-80.6,32.127,5.9281,0,0,0,1519.9,0.53971,646.1,4.7598,NaN,79.535,NaN,0.054962,4193767,2314.8,1.9956,0.3863,0.41875,0.30322,1.1216e-4,0.082976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078163,6.625,34.472,90,0,NaN,58.955,1012.8,1116.7,0.01,0.0058685
0.43,13.326,62.488,143.79,62.488,143.79,0,0,0,0,0,0,28.61,-80.6,32.127,5.8799,0,0,0,1519.9,0.53876,646.1,4.7598,NaN,79.535,NaN,0.056253,4292235,2312.4,2.0882,0.38632,0.41832,0.30321,1.175e-4,0.082989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0080006,6.625,34.472,90,0,NaN,58.952,1012.8,1116.7,0.01,0.0059766
0.44,13.958,63.926,143.6,63.926,143.6,0,0,0,0,0,0,28.61,-80.6,32.127,5.834,0,0,0,1519.9,0.53781,646.1,4.7598,NaN,79.535,NaN,0.057543,4390573,2310,2.1829,0.38633,0.41791,0.30321,1.2297e-4,0.083002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0081847,6.625,34.472,90,0,NaN,58.95,1012.8,1116.7,0.01,0.0060861
0.45,14.605,65.362,143.41,65.362,143.41,0,0,0,0,0,0,28.61,-80.6,32.127,5.7902,0,0,0,1519.9,0.53687,646.1,4.7598,NaN,79.535,NaN,0.058831,4488780,2307.6,2.2796,0.38635,0.41752,0.3032,1.2855e-4,0.083016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0083686,6.625,34.472,90,0,NaN,58.948,1012.7,1116.7,0.01,0.006198
0.46,15.266,66.796,143.22,66.796,143.22,0,0,0,0,0,0,28.61,-80.6,32.127,5.6575,0,0,0,1519.9,0.53592,646.1,4.7598,NaN,79.535,NaN,0.060108,4586130,2305.2,2.3727,0.38636,0.41633,0.3032,1.342e-4,0.083029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0085522,6.625,34.472,90,0,NaN,58.946,1012.7,1116.7,0.01,0.0063076
0.47,15.941,68.228,143.03,68.228,143.03,0,0,0,0,0,0,28.61,-80.6,32.127,5.5304,0,0,0,1519.9,0.53497,646.1,4.7598,NaN,79.535,NaN,0.061383,4683370,2302.8,2.4677,0.38638,0.4152,0.30319,1.3997e-4,0.083043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087355,6.625,34.472,90,0,NaN,58.943,1012.7,1116.7,0.01,0.0064196
0.48,16.63,69.658,142.84,69.658,142.84,0,0,0,0,0,0,28.61,-80.6,32.127,5.4087,0,0,0,1519.9,0.53402,646.1,4.7598,NaN,79.535,NaN,0.062658,4780499,2300.4,2.5645,0.38639,0.41413,0.30319,1.4586e-4,0.083057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0089187,6.625,34.472,90,0,NaN,58.941,1012.7,1116.7,0.01,0.0065398
# Event LAUNCHROD occurred at t=0.49 seconds
0.49,17.334,71.086,142.65,71.086,142.65,0,0,0,0,0,0.46908,28.61,-80.6,32.127,5.2919,0,0,0,1519.9,0.53308,646.1,4.7598,84.241,79.535,0.71031,0.06393,4877515,2297.5,2.6632,0.38641,0.41311,0.30318,1.5187e-4,0.083072,0.93709,0.66518,2.2628e-4,0,0,0,0,0,0.0091015,6.625,34.472,90,0,NaN,58.938,1012.6,1116.7,0.015,0.0066988
0.505,18.416,73.226,142.32,73.226,142.32,-5.3087e-5,0,5.3087e-5,-180,0.0070913,0.47434,28.61,-80.6,32.127,5.0949,0,6.4713e-5,-6.4671e-9,1519.9,0.53189,646.1,4.7598,84.384,79.535,0.73185,0.065834,5022593,2293,2.8125,0.38643,0.41143,0.30318,1.6107e-4,0.083094,0.8943,0.6543,-4.834e-5,0,0,0,0,1.7947e-6,0.0093754,6.625,34.472,90,0.0054375,NaN,58.934,1012.6,1116.7,0.0225,0.0068248
0.5275,20.1,76.426,141.97,76.426,141.97,-3.325e-4,0,3.325e-4,-180,0.017734,0.47109,28.61,-80.6,32.127,4.7478,0,1.6627e-4,-1.6961e-8,1519.9,0.53011,646.1,4.7598,84.642,79.535,0.77076,0.068676,5239206,2289,3.039,0.38647,0.40855,0.30316,1.7533e-4,0.083128,0.8204,0.63262,1.8693e-4,0,0,0,0,1.0887e-5,0.0097852,6.625,34.472,89.999,0.0065741,NaN,58.928,1012.5,1116.7,0.03375,0.0069452
0.56125,22.76,81.216,141.73,81.216,141.73,-0.0011976,0,0.0011976,-180,0.03355,0.47487,28.61,-80.6,32.126,4.3909,0,3.2803e-4,-4.1824e-8,1519.9,0.5275,646.1,4.7598,84.916,79.535,0.81225,0.072945,5564487,2286.2,3.4047,0.38653,0.40574,0.30315,1.9789e-4,0.083182,0.74639,0.60632,-2.3356e-4,0,0,0,0,3.7563e-5,0.010399,6.625,34.472,89.996,0.0073856,NaN,58.919,1012.4,1116.7,0.05,0.0070555
0.61125,26.998,88.3,141.38,88.3,141.38,-0.0034862,0,0.0034862,-180,0.05826,0.50673,28.61,-80.6,32.126,4.1918,0,5.9759e-4,2.1311e-8,1519.9,0.52368,646.1,4.7598,85.076,79.535,0.83636,0.079289,6047717,2282.7,4.0077,0.38662,0.4043,0.30312,2.3396e-4,0.083269,0.70601,0.59042,-3.5592e-4,0,0,0,0,1.0551e-4,0.011305,6.625,34.472,89.988,0.002808,NaN,58.904,1012.3,1116.7,0.05,0.007163
0.66125,31.59,95.368,141.07,95.368,141.07,-0.0070309,-1.5288e-8,0.0070309,-180,0.083405,0.49258,28.61,-80.6,32.126,3.8334,0,9.0087e-4,1.1494e-7,1519.9,0.5191,646.1,4.7597,85.369,79.535,0.8806,0.0856,6528340,2279.3,4.641,0.38672,0.40176,0.30308,2.729e-4,0.083362,0.63483,0.55865,1.9137e-5,0,0,0,0,2.0574e-4,0.01221,6.625,34.472,89.974,-0.0019414,NaN,58.887,1012.1,1116.6,0.05,0.0072786
0.71125,36.534,102.42,140.76,102.42,140.76,-0.011797,-4.7338e-8,0.011797,-180,0.10689,0.4508,28.61,-80.6,32.126,3.4748,0,0.00123,2.8132e-7,1519.9,0.51453,646.1,4.7597,85.673,79.535,0.92651,0.091897,7007626,2275.8,5.3165,0.38683,0.39939,0.30305,3.1477e-4,0.083462,0.56564,0.52403,2.1373e-4,0,0,0,0,3.3279e-4,0.013113,6.625,34.472,89.955,-0.0053568,NaN,58.87,1011.9,1116.6,0.05,0.0074534
0.76125,41.831,109.46,140.44,109.46,140.44,-0.017697,-1.311e-7,0.017697,-180,0.12889,0.42437,28.61,-80.6,32.126,3.3261,0,0.0015918,1.2987e-7,1519.9,0.50996,646.1,4.7597,85.805,79.535,0.94642,0.0982,7487181,2272.4,6.0566,0.38694,0.39854,0.30301,3.5973e-4,0.08357,0.53758,0.50858,1.8061e-4,0,0,0,0,4.8814e-4,0.014014,6.625,34.472,89.93,-0.0065413,NaN,58.851,1011.8,1116.6,0.05,0.0075786
0.81125,47.48,116.48,140.12,116.48,140.12,-0.024651,-3.0109e-7,0.024651,-180,0.14871,0.36049,28.61,-80.6,32.126,3.119,0,0.0019882,-4.8089e-8,1519.9,0.50539,646.09,4.7597,85.991,79.535,0.97444,0.10448,7964968,2268.9,6.8347,0.38707,0.39736,0.30298,4.076e-4,0.083684,0.49906,0.48523,-2.2968e-4,0,0,0,0,6.7274e-4,0.014913,6.625,34.472,89.898,-0.0049275,NaN,58.831,1011.6,1116.6,0.05,0.0076955
0.86125,53.479,123.48,139.8,123.48,139.8,-0.032492,-5.6822e-7,0.032492,-180,0.16395,0.23978,28.61,-80.6,32.126,2.8054,0,0.0024083,1.7263e-7,1519.9,0.50082,646.09,4.7597,86.277,79.535,1.0177,0.11074,8440606,2265.5,7.643,0.3872,0.39564,0.30293,4.5833e-4,0.083804,0.44195,0.4492,1.3664e-4,0,0,0,0,8.7867e-4,0.01581,6.625,34.472,89.858,-0.0038027,NaN,58.809,1011.3,1116.6,0.05,0.0078053
